Datum;Aanwezig op IC verdacht of bewezen Corona;Aanwezig op verpleegafdeling verdacht of bewezen Corona;Opname IC Corona;Opname IC verdacht;Opname IC totaal;Opname verpleegafdeling Corona;Opname verpleegafdeling verdacht;Opname verpleegafdeling totaal;Overleden;Levend het ziekenhuis verlaten;Levend de IC verlaten;Cumulatief op IC (geweest) verdacht of bewezen Corona;Cumulatief op verpleegafdeling (geweest) verdacht of bewezen Corona
2021-04-23;869;1848;61;2;63;148;18;166;3057;6790;505;11355;51373
2021-04-22;854;1904;43;0;43;186;13;199;3042;6755;500;11292;51243
2021-04-21;856;1931;53;0;53;234;9;243;3030;6714;509;11249;51072
2021-04-20;845;1964;53;0;53;262;13;275;3017;6681;511;11196;50867
2021-04-19;858;1954;65;0;65;318;11;329;3006;6639;524;11143;50632
2021-04-18;838;1762;56;0;56;205;6;211;2991;6607;507;11078;50350
2021-04-17;833;1724;53;0;53;199;6;205;2984;6599;476;11022;50183
2021-04-16;827;1793;57;0;57;239;7;246;2970;6583;454;10968;50017
2021-04-15;826;1756;62;0;62;224;9;233;2958;6537;470;10910;49802
2021-04-14;812;1778;55;0;55;237;6;243;2941;6503;465;10848;49607
2021-04-13;806;1811;46;0;46;213;5;218;2926;6459;474;10793;49404
2021-04-12;819;1865;49;0;49;225;12;237;2913;6417;482;10747;49223
2021-04-11;814;1798;58;0;58;194;8;202;2898;6384;475;10698;49026
2021-04-10;810;1782;53;0;53;197;3;200;2883;6378;453;10640;48858
2021-04-09;820;1867;55;0;55;285;7;292;2872;6361;428;10587;48686
2021-04-08;820;1852;46;0;46;234;9;243;2857;6333;409;10532;48431
2021-04-07;818;1884;68;1;69;235;9;244;2842;6283;420;10486;48227
2021-04-06;796;1893;57;1;58;265;9;274;2831;6249;422;10417;48030
2021-04-05;777;1789;54;0;54;223;6;229;2817;6220;416;10360;47784
2021-04-04;768;1709;54;0;54;205;5;210;2810;6212;392;10306;47589
2021-04-03;754;1682;47;0;47;156;4;160;2806;6200;365;10251;47419
2021-04-02;746;1774;70;1;71;224;8;232;2793;6178;357;10204;47290
2021-04-01;711;1842;47;0;47;253;6;259;2784;6140;367;10133;47112
2021-03-31;716;1833;60;0;60;252;14;266;2774;6109;372;10086;46896
2021-03-30;702;1868;50;0;50;241;6;247;2761;6071;375;10026;46683
2021-03-29;701;1881;50;0;50;330;10;340;2748;6033;375;9976;46480
2021-03-28;677;1695;36;0;36;184;8;192;2738;5998;373;9926;46183
2021-03-27;672;1677;39;0;39;155;7;162;2731;5990;364;9890;46023
2021-03-26;670;1748;60;0;60;275;2;277;2726;5975;353;9851;45890
2021-03-25;665;1727;60;0;60;240;9;249;2716;5943;357;9791;45663
2021-03-24;645;1729;39;1;40;242;7;249;2704;5912;348;9731;45459
2021-03-23;644;1709;40;0;40;219;10;229;2698;5873;356;9691;45240
2021-03-22;652;1737;42;0;42;277;7;284;2689;5836;363;9651;45037
2021-03-21;639;1598;54;0;54;193;5;198;2680;5794;372;9609;44791
2021-03-20;617;1546;38;0;38;170;1;171;2675;5791;354;9555;44623
2021-03-19;611;1596;48;0;48;218;4;222;2665;5782;342;9517;44490
2021-03-18;599;1592;52;0;52;233;8;241;2656;5743;360;9469;44298
2021-03-17;591;1550;38;0;38;190;9;199;2646;5711;366;9417;44093
2021-03-16;611;1568;46;0;46;213;4;217;2635;5681;363;9379;43928
2021-03-15;603;1558;45;0;45;218;5;223;2621;5644;357;9333;43743
2021-03-14;587;1431;43;0;43;157;8;165;2613;5603;370;9288;43549
2021-03-13;581;1401;36;0;36;162;10;172;2605;5599;351;9245;43412
2021-03-12;592;1436;31;0;31;188;7;195;2599;5591;332;9209;43263
2021-03-11;604;1427;43;0;43;193;5;198;2586;5558;332;9178;43094
2021-03-10;602;1438;44;0;44;184;10;194;2575;5532;328;9135;42934
2021-03-09;592;1466;34;0;34;185;9;194;2568;5504;324;9091;42774
2021-03-08;602;1467;44;0;44;225;8;233;2564;5467;332;9057;42604
2021-03-07;577;1350;36;0;36;155;5;160;2555;5440;326;9013;42409
2021-03-06;574;1328;37;0;37;116;7;123;2549;5430;325;8977;42272
2021-03-05;566;1414;38;0;38;174;9;183;2539;5417;315;8940;42172
2021-03-04;570;1431;42;0;42;176;3;179;2534;5378;324;8902;42012
2021-03-03;559;1447;35;0;35;153;6;159;2526;5345;325;8860;41867
2021-03-02;570;1490;39;0;39;174;7;181;2520;5314;332;8825;41742
2021-03-01;577;1504;52;1;53;232;7;239;2508;5273;339;8786;41601
2021-02-28;545;1378;43;0;43;147;9;156;2499;5240;336;8733;41404
2021-02-27;526;1361;22;0;22;130;3;133;2493;5236;324;8690;41280
2021-02-26;543;1417;28;0;28;192;8;200;2489;5224;318;8667;41162
2021-02-25;560;1428;47;0;47;159;7;166;2481;5200;311;8639;40998
2021-02-24;550;1461;31;1;32;183;7;190;2473;5177;296;8592;40868
2021-02-23;552;1481;27;0;27;163;6;169;2464;5144;304;8560;40705
2021-02-22;566;1493;32;0;32;218;11;229;2459;5122;297;8533;40565
2021-02-21;556;1373;36;0;36;127;5;132;2449;5096;292;8501;40364
2021-02-20;540;1376;39;0;39;131;3;134;2445;5090;280;8465;40262
2021-02-19;534;1466;33;0;33;162;7;169;2438;5084;272;8426;40155
2021-02-18;530;1486;25;1;26;201;9;210;2430;5049;283;8393;40007
2021-02-17;543;1475;36;0;36;165;8;173;2424;5026;282;8367;39823
2021-02-16;544;1491;39;0;39;171;7;178;2417;5000;277;8331;39680
2021-02-15;549;1513;36;0;36;217;3;220;2410;4969;282;8292;39529
2021-02-14;536;1401;27;0;27;140;4;144;2403;4935;281;8256;39335
2021-02-13;529;1394;22;0;22;115;2;117;2392;4931;273;8229;39212
2021-02-12;535;1493;33;0;33;184;5;189;2385;4922;270;8207;39110
2021-02-11;540;1516;30;0;30;181;7;188;2376;4893;279;8174;38949
2021-02-10;544;1528;30;0;30;193;5;198;2368;4863;280;8144;38791
2021-02-09;542;1525;19;1;20;191;5;196;2358;4828;295;8114;38624
2021-02-08;545;1553;32;0;32;197;5;202;2346;4785;321;8094;38443
2021-02-07;534;1441;22;0;22;117;3;120;2344;4748;337;8062;38272
2021-02-06;548;1460;20;0;20;131;2;133;2336;4743;329;8040;38176
2021-02-05;574;1586;19;0;19;183;12;195;2323;4735;314;8020;38059
2021-02-04;604;1596;25;0;25;195;10;205;2309;4695;322;8001;37881
2021-02-03;630;1624;30;0;30;173;9;182;2300;4656;326;7976;37705
2021-02-02;645;1682;28;0;28;180;7;187;2290;4611;332;7946;37547
2021-02-01;664;1718;30;1;31;233;6;239;2274;4581;333;7918;37384
2021-01-31;660;1614;36;2;38;150;6;156;2262;4547;332;7887;37188
2021-01-30;642;1579;30;0;30;132;3;135;2249;4543;321;7849;37063
2021-01-29;658;1651;28;0;28;222;6;228;2242;4531;321;7819;36950
2021-01-28;663;1633;42;1;43;209;3;212;2225;4503;317;7791;36746
2021-01-27;663;1669;28;1;29;183;6;189;2216;4476;318;7748;36572
2021-01-26;689;1730;35;0;35;175;7;182;2202;4450;319;7719;36415
2021-01-25;695;1775;53;1;54;213;5;218;2186;4420;308;7684;36268
2021-01-24;673;1676;27;0;27;151;1;152;2173;4382;318;7630;36080
2021-01-23;676;1666;34;0;34;159;4;163;2161;4378;300;7603;35950
2021-01-22;687;1740;36;0;36;209;9;218;2152;4364;294;7569;35805
2021-01-21;694;1758;41;0;41;230;9;239;2140;4325;301;7533;35621
